lat,lon,Score,PVOUT_csi,GHI,DNI,ELE,GTI_opta,OPTA,TEMP,DIF
23.6,39.55,0.3724286489774675,1949.644287109375,2356.0703125,2495.84375,1818,2533.2421875,23,21.3125,640.375
24.61667,38.58333,0.3551342319468517,1883.0189208984373,2276.828125,2229.1875,381,2467.7421875,25,28.1875,708.9921875
21.38333,40.15,0.3481122843534038,1803.40283203125,2252.9609375,1998.8515625,502,2394.1171875,22,29.5,853.3046875
25.53333,41.28333,0.38112792227187603,1921.3321533203125,2293.9296875,2340.8828125,1020,2514.4375,26,25.625,739.6484375
23.44689,43.07398,0.38570990732088456,1917.714111328125,2318.984375,2207.7734375,1090,2509.0078125,26,26.0,815.4921875
19.30112,42.0796,0.3607602852602117,1955.33740234375,2305.3984375,2329.5546875,2512,2442.125,21,16.625,725.9609375
24.39993,38.44371,0.3630108325495693,1857.5615234375,2293.6015625,2263.53125,218,2468.4921875,25,28.75,736.5625
24.08954,38.0618,0.357741854412148,1906.4918212890625,2286.453125,2246.2109375,6,2467.765625,24,27.9375,770.8359375
24.14829,37.93297,0.36161759175967567,1892.93310546875,2279.7578125,2229.1796875,-1,2454.5390625,25,28.1875,776.625
21.61709,40.1028,0.35282306986022066,1821.2825927734373,2278.9453125,2058.46875,555,2422.3671875,22,28.8125,841.1015625
21.52407,39.33174,0.3412350447610271,1823.505126953125,2242.9140625,1950.3671875,231,2379.9609375,22,28.875,872.96875
25.9,37.83333,0.3876486514189692,1997.0556640625,2380.0703125,2681.0625,915,2598.1015625,25,24.25,612.1953125
17.5775,45.18028,0.38366087431321655,1937.1971435546875,2392.9453125,2199.015625,981,2544.15625,23,26.4375,860.15625
18.01665,45.02316,0.38290583230009717,1937.0010986328125,2389.0390625,2199.3515625,994,2538.453125,23,26.1875,858.8671875
20.1,42.8,0.38753716445049624,1940.752197265625,2371.3359375,2243.6640625,1386,2535.0078125,24,25.25,820.6796875
26.83333,43.2,0.37154066720783263,1871.2755126953125,2220.2890625,2161.0703125,770,2436.4375,28,24.9375,786.0390625
26.82984,43.19927,0.3714597925549282,1870.631591796875,2220.75,2158.09375,774,2437.0703125,28,24.9375,786.6171875
17.66774,42.66298,0.30707557646620487,1671.3170166015625,2111.0546875,1601.0,269,2206.34375,20,29.9375,953.1484375
24.38611,39.4325,0.3762627237335255,1919.623291015625,2333.7421875,2404.328125,814,2524.875,24,26.8125,718.5703125
26.10156,36.79995,0.36928601733732813,1936.3270263671875,2317.28125,2533.125,128,2522.5078125,25,26.5,652.625
20.75567,43.9171,0.3739293319159852,1888.680419921875,2330.859375,2097.3984375,1064,2490.578125,23,27.25,867.9453125
17.76548,43.18037,0.3450407726434774,1817.027099609375,2242.765625,1974.1015625,1261,2376.453125,22,24.6875,841.046875
23.5,48.83333,0.36957662243988804,1849.9296875,2228.3984375,1950.9765625,288,2423.6875,28,27.625,893.3046875
23.25439,48.92325,0.36548673073928223,1829.9942626953125,2210.46875,1887.6171875,179,2404.2265625,28,28.125,914.375
23.25,48.98333,0.35494340401302976,1814.928466796875,2204.21875,1881.6015625,170,2383.1171875,26,28.1875,911.90625
